no,cex,chain,nama_token,ticker,sc,decimals,feeWD,trade,deposit,withdraw,price
1032,MEXC,bsc,DOGEKONG,DOGEKONG,0x850598eF365afAb7c38178Fb4092b1967347fDaA,18,0,OFF,false,true,
1033,MEXC,bsc,Agentora,ATAT,0x27473a53E1e462d7cBe81bc04e3eEb265F1d106f,18,0,OFF,false,true,
1034,MEXC,bsc,MindNetwork FHE,FHE,0xd55C9fB62E176a8Eb6968f32958FeFDD0962727E,18,3,ON,true,true,0.05615
1035,MEXC,bsc,CAW CEO,CAWCEO,0xD96e43FB44Be20e9E9A5872CE1904EBaa9975ead,18,0,OFF,false,true,
1036,MEXC,bsc,Lion Cat,LCAT,0x3917d6BdFFe43105A74E6F9c09B5206f0f3F5FC0,18,14,OFF,true,true,
1037,MEXC,bsc,Crystal Powder,CRYSTALPOWDER,0xe9C133D3D94263C7aC7B848168138D7cF2cEbA14,18,0,OFF,false,true,
1038,MEXC,bsc,ELON MARS,ELONMARS,0xA526b7aBB8010CD3B79c56E074AD34DFF3d4B0e7,9,0,OFF,false,true,
1039,MEXC,bsc,FIBON,FIB,0x641bD0898B06d881a5cd66Cc3Ff1900BeA0b4F5e,18,0,OFF,false,true,
1040,MEXC,bsc,R Games,RGAME,0xcbd9f6d748Dd3D19416f8914528A65c7838E27D8,18,0,OFF,false,true,
1041,MEXC,bsc,STAKE TOKEN,STAKE,0xeBED7162f39Bf874e121Fd1d7F8F4e6F0D28fA1b,18,0,OFF,false,true,
1042,MEXC,bsc,Portuma,PORTUMA,0x9000Cac49C3841926Baac5b2E13c87D43e51B6a4,18,6789,ON,true,true,0.0000921
1043,MEXC,bsc,NftyPlay,POLO,0xb28a7f8f5328FafFDd862985177583c2Bb71E016,18,0,OFF,false,true,
1044,MEXC,bsc,WIKI CAT,WKC,0x6Ec90334d89dBdc89E08A133271be3d104128Edb,18,4000000,ON,true,true,1.758e-7
1045,MEXC,bsc,Fireverse,FIR,0x238D72E179A581C98DC1996417a49818c7E509dC,18,12,ON,true,true,0.10441
1046,MEXC,bsc,Grove,GVROLD,0xaFb64E73dEf6fAa8B6Ef9a6fb7312d5C4C15ebDB,18,0,OFF,false,true,
1047,MEXC,bsc,beFITTER,FIU,0xEF7d50069406A2F5A53806f7250A6c0f17AD9dCD,18,0,OFF,false,true,
1048,MEXC,bsc,QANplatform,QANX,0xAAA9214F675316182Eaa21C85f0Ca99160CC3AAA,18,42,OFF,false,true,
1049,MEXC,bsc,Wodo Gaming,XWGT,0x62D7C4E3566f7f4033fc8e01b4d8e9BBc01c0760,18,10,ON,true,true,0.032281
1050,MEXC,bsc,Atem Network,ATEM,0x21665851D13f3B5622b178B00aB1ba6Ec43cFc06,18,0,OFF,false,true,
1051,MEXC,bsc,Mixie,MIXIE,0x44Fd228E70E784ccC2b360da370EC1DaCBdbEde7,18,0,OFF,false,true,
1052,MEXC,bsc,Sonic Inu,SONICINU,0x066cdA0CCA84E9C6eD0a4ECB92AA036a9582544B,9,0,OFF,false,true,
1053,MEXC,bsc,FaraCrystal,FARA,0xf4ed363144981d3a65f42e7d0dc54ff9eef559a1,18,0,OFF,false,true,
1054,MEXC,bsc,FARM Reward,FARM,0x4B5C23cac08a567ecf0c1fFcA8372A45a5D33743,18,0.012,ON,false,false,27.81
1055,MEXC,bsc,GENAIS,GAIOLD,0x89bD89F7E9284096d176bb2e61dc6C9E0960D2BB,9,0,OFF,false,false,
1056,MEXC,bsc,Environmental Token,MFET,0x6d23970ce32Cb0F1929bECE7C56D71319e1b4F01,8,0,OFF,false,true,
1057,MEXC,bsc,Web Mingle,WMI,0xce85ea9Cd73f3A2133Cd249f2776d246937D17d5,18,0,OFF,false,true,
1058,MEXC,bsc,WebMind Network,WMN,0xb51d09B75193C35C1eb72D5714453a04051a80bC,18,0,OFF,false,true,
1059,MEXC,bsc,Game With Space,MOSPACE,0x5De466a5786397185bF415794366Cf1aa4021756,18,0,OFF,false,true,
1060,MEXC,bsc,xWIN Finance,XWIN,0xd88ca08d8eec1E9E09562213Ae83A7853ebB5d28,18,0,OFF,false,true,
1061,MEXC,bsc,BabyDogeCoin,BABYDOGE,0xc748673057861a797275cd8a068abb95a902e8de,9,631855342,ON,true,true,1.1553e-9
1062,MEXC,bsc,FitR Metaverse Token,FMT,0x4133ae786381c028C3D7AA738a07368D96EaB9dc,18,0,OFF,false,true,
1063,MEXC,bsc,World of Dypians,WOD,0xb994882a1b9bd98A71Dd6ea5F61577c42848B0E8,18,2,ON,true,true,0.06501
1064,MEXC,bsc,Wombat Exchange,WOM,0xAD6742A35fB341A9Cc6ad674738Dd8da98b94Fb1,18,51,OFF,true,true,
1065,MEXC,bsc,WOO Network,WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18,4,ON,true,true,0.06699
1066,MEXC,bsc,ChainCross,CXTOLD,0x6989B842bacb68a84a60ECE74c30c9103CCDB187,18,0,OFF,false,true,
1067,MEXC,bsc,Rare FND,FND,0x264387Ad73d19408e34b5d5E13A93174a35CEA33,18,0,OFF,false,true,
1068,MEXC,bsc,BullLauncher,BULOLD,0xE89236A3b4D6Ec6016c3F44942134f4Aa4236f50,18,15,OFF,false,false,
1069,MEXC,bsc,APPLE,APPLEOLD,0x95977A9DaA14A00258f89a14F75B6E35d5B730d4,9,0,OFF,false,false,
1070,MEXC,bsc,Ergosum,FAVE,0x854bcBCC481e2dBbD51CaC80A27f160212566ae6,18,67,ON,true,true,0.05675
1071,MEXC,bsc,BOMEAI,BOMEAI,0xF97114c7557246E75d8804B5010f91bF22D27199,18,0,OFF,false,true,
1072,MEXC,bsc,Funny Money,FNY,0x16A042f785BADa1548773F52aE32743E86b0fA13,18,0,OFF,false,true,
1073,MEXC,bsc,Bowled.io,BWLD,0x067BD9825C92a4384f55B4Cb8FcAeaEfFfcD490e,18,0,OFF,false,true,
1074,MEXC,bsc,Synth Ai Meme,SAMAI,0xC6433135B473666bBdC09BFCE9fb58e9c4D8749d,18,0,OFF,false,true,
1075,MEXC,bsc,Future Of Fintech,FOF,0xe8A8db73f7fb1Ab5F05C619A8a631c8930c782Ae,8,0,OFF,false,true,
1076,MEXC,bsc,FOR,FOR,0x658a109c5900bc6d2357c87549b651670e5b0539,18,0,OFF,false,true,
